stage_id,S1
ec_id,Sol
unit,kW/m^2
1,0.001
2,0.001
3,0.001
4,0.002
5,0.001
6,0.001
7,0.001
8,0.002
9,0.007
10,0.044
11,0.098
12,0.109
13,0.089
14,0.044
15,0.028
16,0.019
17,0.004
18,0.002
19,0.002
20,0.002
21,0.002
22,0.002
23,0.002
24,0.002
25,0.002
26,0.002
27,0.001
28,0.001
29,0.001
30,0.001
31,0.001
32,0.002
33,0.007
34,0.046
35,0.095
36,0.138
37,0.309
38,0.17
39,0.102
40,0.052
41,0.007
42,0.002
43,0.002
44,0.002
45,0.002
46,0.002
47,0.002
48,0.002
49,0.002
50,0.001
51,0.002
52,0.001
53,0.001
54,0.001
55,0.001
56,0.002
57,0.015
58,0.041
59,0.187
60,0.223
61,0.223
62,0.212
63,0.13
64,0.055
65,0.011
66,0.002
67,0.002
68,0.002
69,0.002
70,0.002
71,0.002
72,0.002
73,0.002
74,0.002
75,0.002
76,0.003
77,0.003
78,0.002
79,0.002
80,0.002
81,0.012
82,0.042
83,0.074
84,0.141
85,0.234
86,0.091
87,0.057
88,0.084
89,0.021
90,0.002
91,0.002
92,0.001
93,0.002
94,0.002
95,0.002
96,0.002
97,0.002
98,0.002
99,0.002
100,0.002
101,0.002
102,0.002
103,0.001
104,0.002
105,0.009
106,0.018
107,0.15
108,0.297
109,0.319
110,0.277
111,0.119
112,0.079
113,0.012
114,0.002
115,0.002
116,0.002
117,0.002
118,0.001
119,0.002
120,0.002
121,0.002
122,0.002
123,0.002
124,0.001
125,0.002
126,0.002
127,0.002
128,0.001
129,0.005
130,0.012
131,0.088
132,0.262
133,0.326
134,0.166
135,0.147
136,0.064
137,0.008
138,0.002
139,0.002
140,0.001
141,0.002
142,0.002
143,0.002
144,0.002
145,0.002
146,0.002
147,0.001
148,0.001
149,0.001
150,0.001
151,0.001
152,0.001
153,0.008
154,0.017
155,0.147
156,0.295
157,0.319
158,0.28
159,0.201
160,0.063
161,0.008
162,0.002
163,0.002
164,0.002
165,0.001
166,0.001
167,0.001
168,0.001
169,0.001
170,0.001
171,0.001
172,0.002
173,0.001
174,0.001
175,0.001
176,0.002
177,0.007
178,0.044
179,0.098
180,0.109
181,0.089
182,0.044
183,0.028
184,0.019
